"modid","fx","candidate","formula","unique_id","model_filename","model_identifier"
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",402020,"402020_tempOOS_nb_model_4",24
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",402020,"402020_tempOOS_nb_model_baseline",25
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",715401,"715401_tempOOS_nb_model_1",26
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",715401,"715401_tempOOS_nb_model_2",27
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",715401,"715401_tempOOS_nb_model_3",28
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",715401,"715401_tempOOS_nb_model_4",29
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",715401,"715401_tempOOS_nb_model_baseline",30
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",865108,"865108_tempOOS_nb_model_1",31
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",865108,"865108_tempOOS_nb_model_2",32
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",865108,"865108_tempOOS_nb_model_3",33
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",865108,"865108_tempOOS_nb_model_4",34
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",865108,"865108_tempOOS_nb_model_baseline",35
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",294211,"294211_tempOOS_nb_model_1",36
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",294211,"294211_tempOOS_nb_model_2",37
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",294211,"294211_tempOOS_nb_model_3",38
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",294211,"294211_tempOOS_nb_model_4",39
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",294211,"294211_tempOOS_nb_model_baseline",40
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",716462,"716462_tempOOS_nb_model_1",41
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",716462,"716462_tempOOS_nb_model_2",42
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",716462,"716462_tempOOS_nb_model_3",43
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",716462,"716462_tempOOS_nb_model_4",44
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",716462,"716462_tempOOS_nb_model_baseline",45
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",215734,"215734_tempOOS_nb_model_1",46
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",215734,"215734_tempOOS_nb_model_2",47
